race_cat,race,age_bin,age_cat,date,date_start,age,pop,all_covid,all_pop,covid_prop,pop_prop,week_from_start,lm_mean,lm_se,lm_lower,lm_upper
Asian,asian,40-64,40 to 64,2020-07-07,2020-07-01,40,1999693,188,12196914,0.0797872340425532,0.16395073376757432,18,0.06282010516446321,0.005381779196420439,0.052271817939479145,0.07336839238944727
Asian,asian,40-64,40 to 64,2020-07-14,2020-07-08,40,2000001,216,12196103,0.046296296296296294,0.16398688991065424,19,0.06189993589079883,0.005278603243312288,0.051553873533906745,0.07224599824769092
Asian,asian,40-64,40 to 64,2020-07-21,2020-07-15,40,2000311,228,12195292,0.06578947368421052,0.16402321486029198,20,0.06132636753741299,0.005165201456968631,0.051202572681754474,0.0714501623930715
Asian,asian,40-64,40 to 64,2020-07-28,2020-07-22,40,2000620,290,12194480,0.05172413793103448,0.16405947609082142,21,0.06106948350075589,0.0050449731082015895,0.051181336208680775,0.070957630792831
Asian,asian,40-64,40 to 64,2020-08-04,2020-07-29,40,2000928,275,12193669,0.05090909090909091,0.16409564668353718,22,0.061100364598653,0.004922608014899136,0.05145205288945069,0.07074867630785531
Asian,asian,40-64,40 to 64,2020-08-11,2020-08-05,40,2001237,248,12192858,0.04435483870967742,0.16413190410320533,23,0.06139108907030493,0.004803209887750711,0.05197679769031354,0.07080538045029633
Asian,asian,40-64,40 to 64,2020-08-18,2020-08-12,40,2001546,197,12192045,0.07106598984771574,0.16416819327684568,24,0.06191473257628766,0.0046915733414444345,0.052719248827056565,0.07111021632551875
Asian,asian,40-64,40 to 64,2020-08-25,2020-08-19,40,2001855,191,12191235,0.08900523560209424,0.16420444688335514,25,0.06264536819855239,0.004591591171899964,0.05364584950162846,0.07164488689547632
Asian,asian,40-64,40 to 64,2020-09-01,2020-08-26,40,2002163,167,12190423,0.08383233532934131,0.1642406502218996,26,0.06355806644042541,0.00450580213372575,0.054726694258322946,0.07238943862252789
Asian,asian,40-64,40 to 64,2020-09-08,2020-09-02,40,2002472,138,12189611,0.07246376811594203,0.16427694042082228,27,0.06462889522660842,0.004435109718340802,0.05593608017866045,0.07332171027455639
Asian,asian,40-64,40 to 64,2020-09-15,2020-09-09,40,2002780,135,12188799,0.08888888888888889,0.16431315341240757,28,0.06583491990317836,0.004378700796423628,0.05725266634218805,0.07441717346416866
Asian,asian,40-64,40 to 64,2020-09-22,2020-09-16,40,2003090,129,12187989,0.10852713178294573,0.16434950835613651,29,0.0671542032375872,0.004334168941158088,0.05865923211291734,0.07564917436225704
Asian,asian,40-64,40 to 64,2020-09-29,2020-09-23,40,2003398,99,12187177,0.06060606060606061,0.1643857310023478,30,0.06856580541866235,0.00429781150024455,0.06014209487818303,0.07698951595914166
Asian,asian,40-64,40 to 64,2020-10-06,2020-09-30,40,2003707,96,12186366,0.08333333333333333,0.1644220270423521,31,0.07004978405660636,0.0042650394241191165,0.061690306785332896,0.07840926132787983
Asian,asian,40-64,40 to 64,2020-10-13,2020-10-07,40,2004016,85,12185553,0.08235294117647059,0.16445835490601043,32,0.0715871941829972,0.004230828114852202,0.06329477107788688,0.07987961728810751
Asian,asian,40-64,40 to 64,2020-10-20,2020-10-14,40,2004325,76,12184742,0.09210526315789473,0.16449466061735243,33,0.07316008825078775,0.004190148309017189,0.06494739756511406,0.08137277893646144
Asian,asian,40-64,40 to 64,2020-10-27,2020-10-21,40,2004634,70,12183931,0.07142857142857142,0.16453097116193452,34,0.07475151613430636,0.004138340094399375,0.06664036954928358,0.08286266271932914
